"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 17:45:39 ICT 2023","Thu Jun 01 17:45:48 ICT 2023","9019","","tests\fileLogin.ts","Test case login","","","Fill unsername & password invalid: 1",""
"passed","Thu Jun 01 17:45:20 ICT 2023","Thu Jun 01 17:45:25 ICT 2023","5439","","tests\fileLogin.ts","Test case login","","","Unfill unsername & password: 0",""
"passed","Thu Jun 01 17:45:25 ICT 2023","Thu Jun 01 17:45:39 ICT 2023","13270","","tests\fileLogin.ts","Test case login","","","Fill unsername & password invalid: 0",""
"passed","Thu Jun 01 17:45:10 ICT 2023","Thu Jun 01 17:45:19 ICT 2023","8379","","tests\fileLogin.ts","Test case login","","","Happy case: 0",""
